fullpath,iliac_artery_left,iliac_artery_right,pulmonary_artery,aorta,kidney_left,kidney_right,heart_myocardium,heart_atrium_left,heart_atrium_right,heart_ventricle_left,heart_ventricle_right,portal_vein_and_splenic_vein,liver,urinary_bladder,inferior_vena_cava,iliac_vena_left,iliac_vena_right,iliac_artery_left.1,iliac_artery_right.1,pulmonary_artery.1,aorta.1,kidney_left.1,kidney_right.1,heart_myocardium.1,heart_atrium_left.1,heart_atrium_right.1,heart_ventricle_left.1,heart_ventricle_right.1,portal_vein_and_splenic_vein.1,liver.1,urinary_bladder.1,inferior_vena_cava.1,iliac_vena_left.1,iliac_vena_right.1,GT
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00025_16_5X5_AXIAL_Body_5__resized.nii.gz,169.96,157.77,110.24,215.87,84.28,91.07,63.04,198.2,67.48,174.91,84.55,63.27,65.5,20.41,53.99,44.73,39.88,54.70622352,50.92191978,31.76233713,44.86364631,31.47662276,30.40021737,59.31313863,26.68322538,101.6180732,49.20892988,41.98881444,32.82488316,17.38031786,27.44093216,21.24317785,24.96353764,22.51588907,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00025_17_2X1_LUNG_Lung_2__resized.nii.gz,457.33,444.71,297.78,469.51,221.2,221.51,103.97,475.29,183.23,371.72,199.27,83.99,57.34,25.07,104.18,46.51,48.95,195.5012707,191.5421023,85.13389062,125.1430218,90.33706039,89.28826202,88.21190561,66.50235721,154.4059954,128.3802418,98.29600377,65.06357728,33.21886541,40.68470654,61.53692688,38.07219414,32.40103188,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00025_19_2X1_STND_Body_2__resized.nii.gz,461.56,449,306.59,493.22,224.35,224.79,101.01,518.81,181.83,399.72,203.59,78.67,56.01,23.76,99.97,42.28,45.15,180.6978877,173.686039,86.51071698,130.3848388,85.05392037,84.00017284,86.21260093,67.32770265,150.1160831,142.3740821,96.03021241,49.76294362,21.0740742,31.80298525,55.36123978,29.89409191,22.81541812,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00027_15_2X1_LUNG_Lung_2__resized.nii.gz,454.9,500.36,308.89,427.15,196.49,197.66,95.99,436.23,190.33,255.11,210.31,137.61,71.18,30.53,96.79,60.54,61.6,219.3383004,268.0259977,75.94339715,122.8742159,83.73543162,82.00379847,108.8389176,61.36569577,126.5496393,124.821982,87.63459569,62.38822497,32.24817658,45.16634024,51.66140554,49.86926721,46.18022769,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00027_16_5X5_AXIAL_Body_5__resized.nii.gz,270.14,274.31,122.25,399.17,150.77,150.7,95.07,278.36,93.55,277.89,112.5,88.65,49.84,23.898,65.97,41.52,37.92,109.3252605,88.78584579,34.49336075,75.77167935,48.42480857,48.05204343,87.49360896,59.30875062,112.131241,61.6828577,30.71816606,31.27325464,16.76178779,45.41193289,34.78603734,29.61781035,34.33943611,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00027_17_2X1_LUNG_Lung_2__resized.nii.gz,356,370.88,133.48,398.2,166.9,165.41,102.85,285.49,107.27,277.32,119,119.07,52.24,13.372,71.75,45.65,41.16,116.0982736,103.4487522,36.48648978,83.26642056,73.43034178,73.42327061,89.45747974,62.08559112,113.4252685,77.55958594,41.38879067,60.17599375,32.76417569,23.81019837,48.84191073,40.5051892,38.70854589,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00027_17_2X1_STND_Body_2__resized.nii.gz,460.95,510.93,318.94,445.3,198.87,199.77,93.76,473.87,189.13,265.59,213.51,132.81,69.91,28.54,93.46,56.1,57.09,196.0709346,240.2482499,76.29758571,117.8739714,74.43931547,73.43877005,105.3169964,61.16126247,123.5221259,135.8752816,85.58256206,50.63956641,20.52736459,32.20235934,42.69820392,39.00296438,36.16666847,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00027_19_2X1_STND_Body_2__resized.nii.gz,352.32,368.31,129.37,415.42,166.23,164.75,100.95,294.38,102.34,286.72,117.24,114.58,51.12,13.372,68.2,43.1,38.55,114.5708358,103.9264824,28.99665967,84.92866661,64.81118615,63.79940446,87.05410191,57.90726892,109.5329112,76.4484303,31.9116031,48.38038334,19.71190671,23.81019837,39.5360811,28.28190868,29.9243297,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00029_3_CTA_3__resized.nii.gz,202.214,188.484,114.63,213.41,117.516,124.876,29.38,147.91,71,133.8,79.32,67.78,47.68,140.814,62.19,57.258,56.62,58.0387304,61.10871934,36.12978866,49.04007323,50.89897784,65.26473911,92.3189874,52.77008413,102.2052191,43.97227994,44.10381938,29.21640124,16.23176167,56.58040755,22.46432854,25.32803728,22.29621272,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00029_5_CTA_2__resized.nii.gz,192.382,188.484,121.09,215.93,111.702,118.03,25.96,152.47,65.24,131.19,79.48,75.96,48.54,142.46,64.31,55.356,52.802,60.64354074,61.10871934,28.49061253,50.06959967,41.99616408,40.36589386,121.4539443,59.23594377,134.5460722,48.80934585,47.40118433,29.46665692,17.19234414,58.99568512,21.46579146,25.53747014,22.48105054,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00030_4_CTA_3__resized.nii.gz,458.414,469.93,384.19,433.05,107.52,113.39,111.36,443.81,302.7,372.09,340.49,80.46,-29.61,26.596,79.7,50.388,52.348,197.4219328,213.0200997,78.96526053,98.92386048,77.82783788,33.0512536,97.56347652,86.21269251,271.2040231,102.4628173,123.5280959,54.36627218,421.9494845,38.1071863,58.75677288,38.98214236,33.99287561,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00032_17_2X1_LUNG_Lung_2__resized.nii.gz,207.11,200.38,123.33,224.75,94.88,101.13,67.72,208.94,73.62,177.65,87.71,87.26,67.85,25.62,59.88,51.46,46.45,90.12450702,74.328968,31.14044405,49.65507096,44.22913252,43.57574261,64.41555081,25.83333795,107.4297152,59.59562332,47.8406957,45.99827001,25.38155404,36.6589494,78.63737408,30.16644929,28.49261917,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00033_15_5X5_AXIAL_Body_5__resized.nii.gz,295.8,287.5,87.53,279.91,112.6,127.19,94.81,178.49,88.22,170.43,93.26,105.62,71.59,51.2,80.28,51.2,60.09,85.13035738,96.15127165,24.31655245,65.78497849,55.83645288,44.92744567,55.70035098,26.89074561,25.99078581,64.57500022,23.30453854,28.71150995,14.46368672,51.73931728,28.66621138,41.4475772,39.99261643,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00033_18_2X1_STND_Body_2__resized.nii.gz,355.13,351.73,93.25,291.08,125.42,147.34,93.58,183.99,90.9,169.16,93.68,105.06,72.49,48.68,82.2,50.53,54.66,107.1891882,125.8559433,19.05561216,83.58597761,70.43793733,62.73913418,73.18311519,34.7351955,23.2253033,75.12602868,26.03180723,42.21807985,17.47721529,72.49919003,31.39886899,38.10406362,40.01865623,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00034_19_2X1_STND_Body_2__resized.nii.gz,352.32,368.31,129.37,415.42,166.23,164.75,100.95,294.38,102.34,286.72,117.24,114.58,51.12,13.372,68.2,43.1,38.55,114.5708358,103.9264824,28.99613376,84.92829466,64.81437327,63.79940446,87.05530541,57.90726892,109.5295419,76.4484303,31.9116031,48.38038334,19.71186864,23.81019837,39.5320442,28.28190868,29.9243297,1
/home/lance/NAS/users/Akshaya/My_Datasets/5Phase_resized/Use_This/Attempt2_respacing113/Arterial/00037_4_BODY_ANGIO_AAA_CTA__1__resized.nii.gz,231.41,243.826,309.17,301.45,124.41,132.87,79.54,328.91,164.61,252.22,153.12,97.65,65.73,18.156,83.06,68.282,67.344,71.12332091,77.66145822,62.36481407,61.6722561,56.84781051,51.43602,95.0137195,41.87902304,71.7323383,78.02199689,80.2887779,52.42373958,25.01644973,36.83724342,31.07504638,20.05866243,21.37758193,1
